1;USA;7,570,742;+21,419;213,758;+234;4,782,593;+5,769;2,574,391;14,177;22,838;645;109,821,966;331,288;331,499,850
2;India;6,509,916;+37,982;101,211;+336;5,466,344;+41,267;942,361;8,944;4,706;73;77,850,403;56,272;1,383,456,294
3;Brazil;4,882,231;None;145,431;None;4,232,593;None;504,207;8,318;22,927;683;17,900,000;84,059;212,945,646
4;Russia;1,204,502;+9,859;21,251;+174;975,859;+5,563;207,392;2,300;8,253;146;47,247,274;323,721;145,950,636
5;Colombia;841,531;None;26,397;None;753,953;None;61,181;2,220;16,494;517;3,818,824;74,849;51,020,676
6;Peru;821,564;None;32,609;None;695,645;None;93,310;1,331;24,830;986;3,922,567;118,550;33,087,868
7;Spain;810,807;None;32,086;None;N/A;N/A;N/A;1,566;17,340;686;12,723,989;272,116;46,759,459
8;Argentina;779,689;None;20,599;None;614,515;None;144,575;3,828;17,211;455;2,030,512;44,822;45,301,410
9;Mexico;753,090;+4,775;78,492;+414;541,518;+4,043;133,080;2,522;5,825;607;1,983,157;15,340;129,276,993
10;South Africa;677,833;None;16,909;None;611,044;None;49,880;539;11,393;284;4,229,709;71,090;59,498,013
11;France;589,653;None;32,155;None;97,778;None;459,720;1,276;9,028;492;11,174,392;171,096;65,310,735
12;Chile;468,471;+1,881;12,919;+52;440,881;+1,274;14,671;849;24,453;674;3,430,220;179,049;19,158,040
13;Iran;468,119;+3,523;26,746;+179;387,675;+2,411;53,698;4,127;5,555;317;4,095,161;48,599;84,265,047
14;UK;467,146;None;42,268;None;N/A;N/A;N/A;341;6,872;622;25,048,460;368,482;67,977,452
15;Iraq;375,931;+3,672;9,347;+49;303,665;+3,861;62,919;538;9,294;231;2,330,386;57,616;40,446,933
16;Bangladesh;367,565;+1,182;5,325;+20;280,069;+1,442;82,171;None;2,226;32;1,979,805;11,991;165,106,733
17;Saudi Arabia;335,997;+419;4,850;+27;320,974;+626;10,173;954;9,614;139;6,638,679;189,946;34,950,413
18;Turkey;323,014;+1,502;8,384;+59;283,868;+1,211;30,762;1,470;3,820;99;10,711,883;126,664;84,569,589
19;Italy;322,751;+2,844;35,968;+27;231,217;+1,247;55,566;297;5,340;595;11,691,391;193,442;60,438,776
20;Philippines;319,330;+2,674;5,678;+62;255,046;+459;58,606;1,758;2,904;52;3,837,101;34,899;109,949,885
21;Pakistan;313,984;+553;6,507;+8;298,593;+538;8,884;511;1,415;29;3,615,244;16,287;221,964,934
22;Indonesia;299,506;+4,007;11,055;+83;225,052;+3,712;63,399;None;1,092;40;3,451,398;12,584;274,258,537
23;Germany;299,074;+711;9,596;None;259,500;None;29,978;373;3,567;114;16,999,253;202,727;83,852,873
24;Israel;263,983;+5,063;1,679;+46;190,397;+5,275;71,907;839;28,701;183;3,684,411;400,584;9,197,590 
25;Ukraine;222,322;+4,661;4,353;+92;98,737;+2,146;119,232;177;5,092;100;2,308,415;52,866;43,665,155
26;Canada;164,419;+1,760;9,460;+51;138,844;+1,230;16,115;126;4,347;250;7,490,205;198,015;37,826,502
27;Ecuador;139,534;None;11,495;None;112,296;None;15,743;370;7,879;649;446,706;25,223;17,710,572
28;Bolivia;136,219;+503;8,045;+44;96,654;+489;31,520;71;11,629;687;305,112;26,048;11,713,261
29;Romania;134,065;+2,064;4,947;+32;107,058;+1,476;22,060;583;6,981;258;2,496,439;129,995;19,204,146
30;Netherlands;131,889;+3,967;6,449;+21;N/A;N/A;N/A;170;7,693;376;2,449,577;142,877;17,144,643
31;Morocco;128,565;None;2,263;None;106,044;None;20,258;451;3,473;61;2,666,458;72,025;37,021,475
32;Qatar;126,339;+175;216;+1;123,302;+194;2,821;58;44,996;77;791,424;281,866;2,807,805 
33;Belgium;124,234;+3,175;10,037;+14;19,521;None;94,676;156;10,707;865;3,326,787;286,728;11,602,576
34;Panama;113,962;None;2,406;None;90,772;None;20,784;113;26,308;555;493,485;113,920;4,331,867
35;Dominican Republic;113,926;+576;2,128;+11;89,635;+795;22,163;178;10,475;196;488,732;44,938;10,875,577
